Name,Company,Price ($),Kv,R_in (mOhm),Weight (g),Min Voltage,Max Voltage,Max Current,Max Power,Link,Disc
MN5008,T-Motor,89.99,340,55,135,16.20,25.20,35,760,https://store.tmotor.com/product/mn5008-kv170-motor-antigravity-type.html,
MN5008,T-Motor,89.99,400,50,132,16.20,25.20,35,800,https://store.tmotor.com/product/mn5008-kv170-motor-antigravity-type.html,
MN6007,T-Motor,119.99,160,227,180,16.20,50.40,18,864,https://store.tmotor.com/product/mn6007-kv160-motor-antigravity-type.html,
MN6007,T-Motor,119.99,320,50,180,16.20,25.20,39,936,https://store.tmotor.com/product/mn6007-kv160-motor-antigravity-type.html,
MN6007 II,T-Motor,129.99,160,178,159,32.40,50.40,23.7,1120,https://store.tmotor.com/product/mn6007-v2-motor-antigravity-type.html,
MN6007 II,T-Motor,129.99,320,47.5,161,16.20,25.20,44.2,1040,https://store.tmotor.com/product/mn6007-v2-motor-antigravity-type.html,
MN8012,T-Motor,269.9,100,85,351,32.40,50.40,40,1873,https://store.tmotor.com/product/mn8012-motor-antigravity-type.html,
MN8014,T-Motor,279.9,100,65,392,32.40,50.40,52,2423,https://store.tmotor.com/product/mn8014-motor-antigravity-type.html,
MN8017,T-Motor,289.9,120,45,453,32.40,50.40,68.6,3180,https://store.tmotor.com/product/mn8017-motor-antigravity-type.html,
MN1005 V2.0,T-Motor,249.9,90,168,282,32.40,50.40,32,1500,https://store.tmotor.com/product/mn1005-v2-motor-antigravity-type.html,
MN4116,T-Motor,99.99,340,59,212,16.20,25.20,40,910,https://store.tmotor.com/product/mn4116-motor-navigator-type.html,
MN4116,T-Motor,99.99,450,32,212,16.20,25.20,54,1210,https://store.tmotor.com/product/mn4116-motor-navigator-type.html,
MN4112,T-Motor,92.99,320,94,172,16.20,25.20,40,910,https://store.tmotor.com/product/mn4112-motor-navigator-type.html,
MN4112,T-Motor,92.99,420,60,172,16.20,25.20,54,1210,https://store.tmotor.com/product/mn4112-motor-navigator-type.html,
MN4110,T-Motor,86.99,300,135,152,16.20,25.20,23,535,https://store.tmotor.com/product/mn4110-motor-navigator-type.html,
