Name,Company,Cell Type,Cap (mAh),Continuous C-Rate,Max C Rate,Cells (S),Cells (P),Max Voltage per cell,Min Voltage per cell,Weight (Kg),Price ($),Energy Density (Wh/Kg),Energy per dollar (Wh/Price),Link,Discription
Tattu G-Tech 6S 10000mAh 30C 22.2V Lipo Battery Pack with EC5 Plug for UAV Drone,TATTU,LiPo,10000,30,30,6,1,4.2,2.73,1.35,217,186.67,1161.29,https://genstattu.com/ta-30c-10000-6s1p-ec5.html,
Tattu 16000mAh 6S 30C 22.2V Lipo Battery Pack with XT90-S Plug,TATTU,LiPo,16000,30,30,6,1,4.2,2.73,1.988,336,202.82,1200,https://genstattu.com/ta-30c-16000-6s1p-xt90.html,
Tattu G-Tech 6S 11000mAh 22.8V 25C High Voltage Lipo Battery with XT90-S Plug for UAV,TATTU,High Voltage LiPo,11000,25,25,6,1,4.3,2.8,1.296,217,218.98,1307.83,https://genstattu.com/tattu-22-8-25c-6s-11000-mah-high-voltage-lipo-battery-with-xt90-s-plug-for-uav.html,
Tattu G-Tech 6S 23000mAh 22.8V 25C High Voltage Lipo Battery with XT90-S Plug for UAV,TATTU,High Voltage LiPo,23000,25,25,6,1,4.3,2.8,2.747,468,216.02,1267.95,https://genstattu.com/tattu-22-8-v-25c-6s-23000mah-lipo-battery-with-xt90-s-plug-for-uav.html,
Tattu G-Tech 6S 17000mAh 15C 22.8V High Voltage LiPo Battery with XT90-S Plug for UAV,TATTU,High Voltage LiPo,17000,15,15,6,1,4.3,2.8,1.874,356,234.04,1232.02,https://genstattu.com/tattu-22-8v-15c-6s-17000mah-lipo-battery-with-xt90-plug-for-uav.html,
Tattu G-Tech 22.8V 25C 6S 23000mAh High Voltage Lipo Battery with AS150+XT150 Plug for UAV,TATTU,High Voltage LiPo,23000,25,25,6,1,4.3,2.8,2.473,498,239.95,1191.57,https://genstattu.com/tattu-22-8v-25c-6s-23000-mah-lipo-battery-with-as150-xt150-plug-for-uav.html,
Tattu G-Tech 22.8V 15C 6S 17000mAh High Voltage LiPo Battery with AS150+XT150 Plug for UAV,TATTU,High Voltage LiPo,17000,15,15,6,1,4.3,2.8,1.857,356,236.19,1232.02,https://genstattu.com/tattu-22-8v-15c-6s-17000-mah-lipo-battery-with-as150-xt150-plug-for-uav.html,
Tattu G-Tech 6S 25000mAh 10C 22.8V High Voltage Lipo Battery with AS150+AS150 Plug for UAV,TATTU,High Voltage LiPo,25000,10,10,6,1,4.3,2.8,2.542,505,253.74,1277.23,https://genstattu.com/tattu-22-5v-10c-25000-mah-6s1p-hv-lipo-battery-with-as150-for-uav-vtol-drone.html,
Tattu G-Tech 6S 25000mAh 22.8V 10C High Voltage LiPo Battery with XT90-S Plug for UAV,TATTU,High Voltage LiPo,25000,10,10,6,1,4.3,2.8,2.577,505,250.29,1277.23,https://genstattu.com/tattu-g-tech-6s-25000mah-22-8v-10c-high-voltage-lipo-battery-with-xt90-s-plug-for-uav.html,
Tattu Pro 16000mAh 45.6V 25C 12S1P HV Lipo Smart Battery Pack with AS150U-F Plug,TATTU,LiPo,16000,25,25,12,1,4.2,2.73,4.65,710,173.42,1135.77,https://genstattu.com/tattu-Pro-25c-16000mah-12s1p-as150-smart-lipo-battery.html,
Tattu Plus 22000mAh 6s 25C 22.2V Lipo Smart Battery Pack with XT90-S Plug (New Version),TATTU,LiPo,22000,25,25,6,1,4.2,2.73,2.65,487,209.21,1138.4,https://genstattu.com/tattu-plus-25c-22000mah-6s1p-xt90-smart-lipo-battery.html,
Tattu Plus 12000mAh 6s 15C 22.2V Smart Lipo Battery Pack with EC5 Plug (New Version),TATTU,LiPo,12000,15,15,6,1,4.2,2.73,1.67,283,181.08,1068.55,https://genstattu.com/tattu-plus2-15c-12000mah-6s1p-ec5-smart-lipo-battery.html,
Tattu Plus 22.2V 25C 10000mAh 6S Lipo Smart Battery Pack with EC5 Plug (new version),TATTU,LiPo,10000,25,25,6,1,4.2,2.73,1.517,228,166.12,1105.26,https://genstattu.com/tattu-plus-22-2v-25c-10000mah-6s-lipo-smart-battery-pack-with-ec5-plug.html,
Tattu Plus 10000mAh 6S 22.2V 25C Lipo Battery with AS150+XT150 Plug (new version),TATTU,LiPo,10000,25,25,6,1,4.2,2.73,1.517,228,166.12,1105.26,https://genstattu.com/tattu-plus-22-2v-25c-6s-liPo-battery-10000-mah-with-as150-xt150-plug.html,
Tattu Plus 6s 22000mAh 25C 22.2V Lipo Smart Battery Pack with AS150+XT150 Plug (new version),TATTU,LiPo,22000,25,25,6,1,4.2,2.73,2.65,487,209.21,1138.4,https://genstattu.com/tattu-plus-22000-mah-6s-1p-lipo-smart-battery-pack-with-as150-xt150-plug,
Tattu G-Tech 30000mAh 6S 22.2V 25C Lipo Battery Pack with AS150+XT150 Plug,TATTU,LiPo,30000,25,25,6,1,4.2,2.73,3.673,533,205.83,1418.39,https://genstattu.com/tattu-30000mah-22-2v-25c-6s1p-lipo-battery-pack.html,
Tattu Plus 16000mAh 6S 15C 22.2V Lipo Battery Pack with AS150+XT150 Plug (new version),TATTU,LiPo,16000,15,15,6,1,4.2,2.73,2.063,361,195.44,1116.9,https://genstattu.com/tattu-plus-16000mah-6s-15c-22-2V-lipo-battery-pack-with-as150-xt150-plug.html,
Tattu 28000mAh 6s 25C 22.2V Lipo Battery Pack with AS150 +XT150 Plug,TATTU,LiPo,28000,25,25,6,1,4.2,2.73,3.413,498,206.74,1416.87,https://genstattu.com/tattu-28000mah-22-2v-25c-6s1p-lipo-battery-pack.html,
Tattu 15C 6S 12000mAh Battery Pack with AS150 +XT150 Plug,TATTU,LiPo,12000,15,15,6,1,4.2,2.73,1.62,360.63,186.67,838.53,https://genstattu.com/tattu-12000mah-6s1p-15c-lipo-battery-pack-with-as150-xt150-plug.html,
Diamond 4.2V 275wh/kg Series Semi-Solid-State Li-ion Battery,FOXTECH,Semi-Solid-State Li-ion,16000,5,10,1,1,4.2,2.7,0.417,38.67,161.15,1737.78,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html,Price and Weight calculated by Price/6 and Weight/6
Diamond 4.2V 275wh/kg Series Semi-Solid-State Li-ion Battery,FOXTECH,Semi-Solid-State Li-ion,22000,5,10,1,1,4.2,2.7,0.5,51.16666667,184.8,1805.86,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html,Price and Weight calculated by Price/6 and Weight/7
Diamond 4.2V 275wh/kg Series Semi-Solid-State Li-ion Battery,FOXTECH,Semi-Solid-State Li-ion,27000,5,10,1,1,4.2,2.7,0.666666667,62.83333333,170.1,1804.77,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html,Price and Weight calculated by Price/6 and Weight/8
Diamond 4.2V 275wh/kg Series Semi-Solid-State Li-ion Battery,FOXTECH,Semi-Solid-State Li-ion,30000,5,10,1,1,4.2,2.7,0.666666667,68,189,1852.94,https://www.foxtechfpv.com/foxtech-diamond-6s-22000mah-semi-solid-state-li-ion-battery.html,Price and Weight calculated by Price/6 and Weight/9
Diamond 4.45V Ultra-Low Temperature Series Semi-solid-state Li-ion battery,FOXTECH, Ultra-Low Temperature Series Semi-solid-state Li-ion,22000,8,20,1,1,4.45,3.6,0.416666667,63,234.96,1553.97,https://www.foxtechfpv.com/diamond-hvt-12s-67000.html#yt_tab_products1,Price and Weight calculated by Price/6 and Weight/10
Diamond 4.45V Ultra-Low Temperature Series Semi-solid-state Li-ion battery,FOXTECH, Ultra-Low Temperature Series Semi-solid-state Li-ion,44000,8,20,1,1,4.45,3.6,0.75,141.3333333,261.07,1385.38,https://www.foxtechfpv.com/diamond-hvt-12s-67000.html#yt_tab_products2,Price and Weight calculated by Price/6 and Weight/11
Diamond 4.45V Ultra-Low Temperature Series Semi-solid-state Li-ion battery,FOXTECH, Ultra-Low Temperature Series Semi-solid-state Li-ion,35000,8,20,1,1,4.45,3.6,0.666666667,73.08333333,233.63,2131.13,https://www.foxtechfpv.com/diamond-hvt-12s-67000.html#yt_tab_products3,Price and Weight calculated by Price/6 and Weight/12
Diamond 4.45V Ultra-Low Temperature Series Semi-solid-state Li-ion battery,FOXTECH, Ultra-Low Temperature Series Semi-solid-state Li-ion,36000,8,20,1,1,4.45,3.6,0.683333333,75.16666667,234.44,2131.26,https://www.foxtechfpv.com/diamond-hvt-12s-67000.html#yt_tab_products4,Price and Weight calculated by Price/6 and Weight/13
Diamond 4.45V Ultra-Low Temperature Series Semi-solid-state Li-ion battery,FOXTECH, Ultra-Low Temperature Series Semi-solid-state Li-ion,88000,8,20,1,1,4.45,3.6,1.333333333,298.25,293.7,1312.99,https://www.foxtechfpv.com/diamond-hvt-12s-67000.html#yt_tab_products5,Price and Weight calculated by Price/6 and Weight/14
Diamond 4.45V Ultra-Low Temperature Series Semi-solid-state Li-ion battery,FOXTECH, Ultra-Low Temperature Series Semi-solid-state Li-ion,134000,2,6,1,1,4.45,3.6,1.777777778,311.6111111,335.42,1913.6,https://www.foxtechfpv.com/diamond-hvt-12s-67000.html#yt_tab_products6,
